"filename", "language", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\saqla\OneDrive\Documents\GitHub\MindSpaceFrontEnd\app\screens\LoginSignup\SignUpScreen.js", "JavaScript", 0, 107, 0, 4, 111
"c:\Users\saqla\OneDrive\Documents\GitHub\MindSpaceFrontEnd\app\screens\MySpace\MySpace.js", "JavaScript", 0, 186, 0, 6, 192
"c:\Users\saqla\OneDrive\Documents\GitHub\MindSpaceFrontEnd\app\screens\Post\Comment.js", "JavaScript", 0, 126, 0, 11, 137
"c:\Users\saqla\OneDrive\Documents\GitHub\MindSpaceFrontEnd\app\screens\Post\PostScreen.js", "JavaScript", 0, 279, 3, 18, 300
"c:\Users\saqla\OneDrive\Documents\GitHub\MindSpaceFrontEnd\app\screens\Post\Replies.js", "JavaScript", 0, 75, 0, 4, 79
"c:\Users\saqla\OneDrive\Documents\GitHub\MindSpaceFrontEnd\app\screens\Profile\Profile.js", "JavaScript", 0, 102, 0, 6, 108
"c:\Users\saqla\OneDrive\Documents\GitHub\MindSpaceFrontEnd\app\screens\Relaxation\AudioPlayer.js", "JavaScript", 0, 189, 1, 14, 204
"c:\Users\saqla\OneDrive\Documents\GitHub\MindSpaceFrontEnd\app\screens\Relaxation\Relaxation.js", "JavaScript", 0, 140, 0, 9, 149
"c:\Users\saqla\OneDrive\Documents\GitHub\MindSpaceFrontEnd\app\screens\Settings\SettingsScreen.js", "JavaScript", 0, 35, 0, 4, 39
"c:\Users\saqla\OneDrive\Documents\GitHub\MindSpaceFrontEnd\app\screens\Welcome\WelcomeScreen.js", "JavaScript", 0, 88, 0, 3, 91
"c:\Users\saqla\OneDrive\Documents\GitHub\MindSpaceFrontEnd\babel.config.js", "JavaScript", 0, 6, 0, 1, 7
"c:\Users\saqla\OneDrive\Documents\GitHub\MindSpaceFrontEnd\eas.json", "JSON", 22, 0, 0, 1, 23
"c:\Users\saqla\OneDrive\Documents\GitHub\MindSpaceFrontEnd\package.json", "JSON", 58, 0, 0, 1, 59
"Total", "-", 130, 8011, 161, 386, 8688
